date,sales,temperature
2023-01-01,100,32
2023-01-02,105,33
2023-01-03,110,35
2023-01-04,108,34
2023-01-05,115,36
2023-01-06,120,37
2023-01-07,125,39
2023-01-08,130,40
2023-01-09,128,38
2023-01-10,135,39
2023-01-11,140,41
2023-01-12,145,40
2023-01-13,150,42
2023-01-14,148,41
2023-01-15,155,43
2023-01-16,160,44
2023-01-17,165,45
2023-01-18,170,46
2023-01-19,175,47
2023-01-20,180,46
2023-01-21,185,48
2023-01-22,190,49
2023-01-23,195,50
2023-01-24,200,51
2023-01-25,205,52
2023-01-26,210,51
2023-01-27,215,53
2023-01-28,220,54
2023-01-29,225,55
2023-01-30,230,56
2023-01-31,235,55 
